Gene ID	log2FoldChange	padj
GSBRNA2T00042787001	6.143627279	1.42E-08
GSBRNA2T00106761001	6.137225209	2.47E-06
GSBRNA2T00099466001	6.136267064	1.07E-05
GSBRNA2T00077010001	6.129414671	1.17E-05
GSBRNA2T00136175001	6.119129959	1.49E-05
GSBRNA2T00119870001	6.115226332	9.86E-09
GSBRNA2T00140320001	6.114746646	6.72E-07
GSBRNA2T00000453001	6.11356775	1.54E-16
GSBRNA2T00000695001	6.112430859	3.99E-22
GSBRNA2T00134492001	6.105320589	1.80E-05
GSBRNA2T00104909001	6.1010704	5.37E-21
GSBRNA2T00134431001	6.086228036	1.19E-32
GSBRNA2T00009169001	6.082224409	4.37E-30
GSBRNA2T00136343001	6.076595118	2.99E-14
GSBRNA2T00018372001	6.076355445	9.93E-07
GSBRNA2T00117642001	6.064250248	5.26E-46
GSBRNA2T00069619001	6.059401331	4.59E-17
GSBRNA2T00042025001	6.059179839	3.08E-16
GSBRNA2T00132254001	6.056795759	4.99E-21
GSBRNA2T00138277001	6.042692573	5.98E-11
GSBRNA2T00115206001	6.04232373	7.81E-30
GSBRNA2T00035591001	6.014487675	1.47E-09
GSBRNA2T00132651001	6.013537815	5.53E-06
GSBRNA2T00116512001	5.995549017	6.96E-08
GSBRNA2T00071552001	5.995402762	0.000114307
GSBRNA2T00152815001	5.990559754	4.83E-20
GSBRNA2T00054199001	5.980342221	1.04E-08
GSBRNA2T00063259001	5.975865101	2.21E-22
GSBRNA2T00010077001	5.971069145	4.91E-05
GSBRNA2T00142385001	5.967598984	2.12E-06
GSBRNA2T00100850001	5.966568837	7.76E-05
GSBRNA2T00041351001	5.961993021	3.17E-08
GSBRNA2T00113522001	5.957945561	0.00031748
GSBRNA2T00000899001	5.955307101	5.58E-08
GSBRNA2T00107989001	5.952931851	0.000123967
GSBRNA2T00158254001	5.952246575	2.65E-23
GSBRNA2T00098174001	5.952032767	3.45E-18
GSBRNA2T00023652001	5.950914738	0.000594456
GSBRNA2T00104806001	5.950239265	3.75E-53
GSBRNA2T00055143001	5.947342306	1.95E-15
GSBRNA2T00134757001	5.947129395	7.80E-05
GSBRNA2T00115735001	5.93787911	5.55E-05
GSBRNA2T00151760001	5.929077456	3.03E-08
GSBRNA2T00074333001	5.928191717	4.68E-24
GSBRNA2T00129457001	5.922304473	5.18E-07
GSBRNA2T00025226001	5.921542337	5.47E-06
GSBRNA2T00051410001	5.919633661	2.35E-20
GSBRNA2T00042474001	5.914795557	1.75E-11
GSBRNA2T00106334001	5.902507707	4.95E-13
GSBRNA2T00054007001	5.900734091	6.48E-13
GSBRNA2T00068003001	5.899166977	3.05E-06
GSBRNA2T00069882001	5.897682448	9.45E-33
GSBRNA2T00154504001	5.891267971	3.45E-05
GSBRNA2T00090357001	5.891094055	6.53E-19
GSBRNA2T00099309001	5.889037958	0.000232141
GSBRNA2T00017809001	5.884816453	4.04E-12
GSBRNA2T00139456001	5.877761885	0.000181608
GSBRNA2T00156858001	5.875331322	1.89E-14
GSBRNA2T00016729001	5.873000052	8.46E-13
GSBRNA2T00098855001	5.87202891	7.88E-05
GSBRNA2T00087669001	5.870645473	0.000258392
GSBRNA2T00084755001	5.866577126	1.73E-12
GSBRNA2T00067869001	5.860616668	1.42E-06
GSBRNA2T00139261001	5.855959232	1.78E-10
GSBRNA2T00084615001	5.850361056	0.000943354
GSBRNA2T00144424001	5.850291074	1.26E-06
GSBRNA2T00131747001	5.849749108	3.82E-07
GSBRNA2T00067008001	5.844392868	0.000157594
GSBRNA2T00066234001	5.826259284	3.56E-06
GSBRNA2T00037243001	5.823931812	4.32E-32
GSBRNA2T00076566001	5.822839506	6.10E-36
GSBRNA2T00002631001	5.822039079	0.000523525
GSBRNA2T00077599001	5.820184837	2.81E-05
GSBRNA2T00155477001	5.818161374	0.00086338
GSBRNA2T00003129001	5.817296419	1.23E-11
GSBRNA2T00110351001	5.812095637	0.000327666
GSBRNA2T00089642001	5.807812912	1.68E-06
GSBRNA2T00155558001	5.807247696	2.68E-05
GSBRNA2T00066247001	5.797383204	3.78E-09
GSBRNA2T00073141001	5.796407787	1.09E-05
GSBRNA2T00000406001	5.793514294	2.21E-06
GSBRNA2T00107993001	5.792877355	0.000352665
GSBRNA2T00126971001	5.788977761	8.15E-07
GSBRNA2T00009520001	5.786764196	1.65E-21
GSBRNA2T00112701001	5.780920256	1.06E-15
GSBRNA2T00075580001	5.763624356	8.31E-05
GSBRNA2T00004774001	5.757911787	5.64E-16
GSBRNA2T00057115001	5.744708009	3.75E-08
GSBRNA2T00102265001	5.736743185	1.84E-06
GSBRNA2T00049586001	5.715878544	0.000200712
GSBRNA2T00142981001	5.715379176	1.44E-39
GSBRNA2T00056537001	5.708669151	4.80E-06
GSBRNA2T00154252001	5.69800881	6.23E-14
GSBRNA2T00145860001	5.696606207	9.83E-24
GSBRNA2T00049389001	5.693172134	5.62E-08
GSBRNA2T00154020001	5.678086974	4.23E-13
GSBRNA2T00058049001	5.668457383	0.000254052
GSBRNA2T00133540001	5.668040482	2.03E-07
GSBRNA2T00035401001	5.667614111	9.05E-07
GSBRNA2T00127701001	5.660195104	1.44E-37
GSBRNA2T00003882001	5.659085396	1.20E-07
GSBRNA2T00078031001	5.656650807	2.97E-08
GSBRNA2T00131653001	5.655831853	1.15E-32
GSBRNA2T00014123001	5.653776538	0.000934629
GSBRNA2T00001506001	5.653289647	7.09E-09
GSBRNA2T00068760001	5.649120746	0.00046775
GSBRNA2T00036369001	5.642077727	0.000172267
GSBRNA2T00074286001	5.633056105	1.52E-06
GSBRNA2T00113647001	5.629287493	8.57E-11
GSBRNA2T00043131001	5.612841189	6.89E-11
GSBRNA2T00155448001	5.609775623	6.35E-14
GSBRNA2T00158091001	5.600043294	2.58E-07
GSBRNA2T00000257001	5.596759533	0.000746062
GSBRNA2T00105168001	5.589025161	1.96E-09
GSBRNA2T00065288001	5.583342631	0.001112779
GSBRNA2T00138720001	5.576810009	0.001770395
GSBRNA2T00070338001	5.575797927	0.000612758
GSBRNA2T00114310001	5.570095822	3.77E-05
GSBRNA2T00074574001	5.56983569	1.82E-05
GSBRNA2T00090153001	5.567943371	5.99E-13
GSBRNA2T00117039001	5.567481931	7.58E-12
GSBRNA2T00100537001	5.551092082	1.00E-11
GSBRNA2T00015416001	5.550296147	1.31E-05
GSBRNA2T00101522001	5.548635548	5.37E-15
GSBRNA2T00003752001	5.540002768	1.35E-08
GSBRNA2T00145939001	5.538706524	7.40E-22
GSBRNA2T00144442001	5.53283668	6.93E-40
GSBRNA2T00018349001	5.532718955	2.06E-11
GSBRNA2T00122268001	5.529460673	3.03E-13
GSBRNA2T00035567001	5.528209221	7.51E-08
GSBRNA2T00046810001	5.525899537	1.75E-27
GSBRNA2T00000806001	5.524534963	1.85E-09
GSBRNA2T00066118001	5.523332414	3.92E-12
GSBRNA2T00002203001	5.516897132	2.31E-07
GSBRNA2T00066060001	5.516075352	1.69E-19
GSBRNA2T00121235001	5.513734317	1.50E-08
GSBRNA2T00002241001	5.513155815	0.000218961
GSBRNA2T00008377001	5.51241604	0.002145064
GSBRNA2T00138958001	5.508941619	5.21E-07
GSBRNA2T00136178001	5.498461063	6.02E-16
GSBRNA2T00138059001	5.498220204	3.75E-10
GSBRNA2T00078035001	5.497379098	0.000468806
GSBRNA2T00033572001	5.495278791	1.59E-07
GSBRNA2T00082812001	5.493343272	0.000138009
GSBRNA2T00121196001	5.484823752	2.07E-05
GSBRNA2T00130795001	5.472710471	8.90E-08
GSBRNA2T00074473001	5.469334065	0.001166183
GSBRNA2T00098932001	5.468060418	0.002564805
GSBRNA2T00004314001	5.467995646	0.000618766
GSBRNA2T00096206001	5.465657452	4.52E-15
GSBRNA2T00043435001	5.464899718	1.07E-26
GSBRNA2T00131471001	5.463628963	8.31E-07
GSBRNA2T00129645001	5.462989333	2.64E-05
GSBRNA2T00110924001	5.462088694	6.48E-08
GSBRNA2T00010329001	5.462011027	2.31E-36
GSBRNA2T00136890001	5.45625339	2.88E-07
GSBRNA2T00139058001	5.456160836	1.44E-09
GSBRNA2T00078034001	5.454974454	7.60E-17
GSBRNA2T00011836001	5.448453837	6.47E-14
GSBRNA2T00059333001	5.445303934	1.29E-12
GSBRNA2T00150454001	5.441750394	7.22E-13
GSBRNA2T00007416001	5.440641631	0.001424054
GSBRNA2T00099900001	5.439375914	0.000785068
GSBRNA2T00111327001	5.43631723	8.17E-06
GSBRNA2T00099515001	5.430442768	0.001019121
GSBRNA2T00103457001	5.427282978	1.09E-13
GSBRNA2T00072841001	5.425948053	3.29E-16
GSBRNA2T00078239001	5.42301567	5.09E-05
GSBRNA2T00020983001	5.42121799	0.000133421
GSBRNA2T00073451001	5.420897814	4.42E-05
GSBRNA2T00082690001	5.415977314	0.000126916
GSBRNA2T00144564001	5.414710753	7.51E-05
