Gene ID	Root 1 hr log2FoldChange	padj
GSBRNA2T00106935001	6.259318361	1.31E-40
GSBRNA2T00139054001	6.258303234	8.42E-15
GSBRNA2T00010054001	6.256756126	3.71E-17
GSBRNA2T00100211001	6.256117368	0.001348398
GSBRNA2T00028439001	6.255355168	0.00035733
GSBRNA2T00014923001	6.253537129	6.49E-23
GSBRNA2T00077854001	6.247484135	0.000838762
GSBRNA2T00014187001	6.241916349	0.000518518
GSBRNA2T00090129001	6.238551576	3.50E-15
GSBRNA2T00126205001	6.223912619	1.66E-06
GSBRNA2T00074926001	6.222354172	0.00036343
GSBRNA2T00150794001	6.216344787	0.000535196
GSBRNA2T00109128001	6.212513512	2.34E-17
GSBRNA2T00025257001	6.208247332	0.000596748
GSBRNA2T00002404001	6.206058815	7.37E-19
GSBRNA2T00100210001	6.201699682	0.000924851
GSBRNA2T00103330001	6.200918019	7.46E-05
GSBRNA2T00011092001	6.200782903	0.000273954
GSBRNA2T00139093001	6.199455574	0.000155949
GSBRNA2T00025285001	6.198095338	0.00033902
GSBRNA2T00125573001	6.187242294	6.52E-06
GSBRNA2T00150537001	6.165702326	5.53E-17
GSBRNA2T00078954001	6.164431075	0.000372172
GSBRNA2T00132774001	6.155112177	0.000110784
GSBRNA2T00079453001	6.154199568	0.000120195
GSBRNA2T00026547001	6.152545078	2.89E-05
GSBRNA2T00155030001	6.145123631	2.29E-16
GSBRNA2T00075489001	6.139803132	0.000106509
GSBRNA2T00101172001	6.135005654	8.91E-08
GSBRNA2T00095738001	6.131096961	0.000507723
GSBRNA2T00013366001	6.123723533	1.54E-07
GSBRNA2T00152952001	6.11688555	0.000682269
GSBRNA2T00091677001	6.108852857	0.002187443
GSBRNA2T00100009001	6.104994247	0.000183012
GSBRNA2T00134148001	6.102140893	7.77E-05
GSBRNA2T00129457001	6.092408262	0.001237851
GSBRNA2T00095255001	6.09201995	0.000305446
GSBRNA2T00031705001	6.081061312	3.50E-08
GSBRNA2T00082066001	6.080899691	4.26E-08
GSBRNA2T00069300001	6.080116037	0.0003428
