AGI_code	log2-fold change	P-value	FDR
AT4G03010	-1.182956653	5.29559E-06	5.07704E-05
AT4G00680	-1.182265221	7.75522E-07	9.22901E-06
AT4G15215	-1.181044002	7.32776E-11	2.0431E-09
AT3G06600	-1.180628482	2.23565E-05	0.000184631
AT5G48880	-1.180448067	6.82819E-07	8.22287E-06
AT4G35160	-1.179508772	4.84793E-05	0.000364643
AT5G15130	-1.179112354	2.62797E-05	0.000214085
AT3G54390	-1.178774806	1.29634E-09	2.83877E-08
AT2G46210	-1.178398602	5.33779E-05	0.000397143
AT2G25060	-1.178045394	1.2928E-08	2.32751E-07
AT2G04780	-1.176786647	4.17424E-12	1.47616E-10
AT1G47620	-1.176768329	2.28829E-06	2.41324E-05
AT5G22410	-1.176500679	8.55371E-05	0.000597716
AT4G30110	-1.175859047	2.50738E-08	4.23015E-07
AT5G47920	-1.175466682	1.29593E-06	1.45527E-05
AT4G14960	-1.175188851	4.91399E-16	3.51866E-14
AT3G02230	-1.174279674	6.12035E-16	4.30903E-14
AT2G15440	-1.173744422	4.4594E-09	8.71796E-08
AT2G41312	-1.173408881	9.64061E-05	0.000664638
AT2G37560	-1.172815568	5.13184E-07	6.37497E-06
AT1G27110	-1.172507204	1.65619E-13	7.57611E-12
AT1G19715	-1.171266735	1.92993E-09	4.08429E-08
AT1G72240	-1.16987953	0.008642962	0.030904505
AT3G59370	-1.169008155	2.02627E-12	7.70319E-11
AT1G64625	-1.168741147	4.68043E-06	4.55308E-05
AT1G22470	-1.168675525	0.002268208	0.009987587
AT4G34160	-1.16833558	5.18466E-08	8.1471E-07
AT1G23540	-1.167792541	5.25097E-05	0.000391455
AT4G18670	-1.16661393	7.90772E-09	1.47386E-07
AT5G26260	-1.166230083	1.35359E-10	3.63337E-09
AT2G38180	-1.166132224	3.55798E-10	8.74917E-09
AT5G62480	-1.165479166	2.68435E-07	3.5704E-06
AT1G08500	-1.164343268	3.76081E-10	9.18519E-09
AT3G18170	-1.164253185	5.57939E-08	8.71304E-07
AT5G10310	-1.162908977	0.001027566	0.0051014
AT3G52820	-1.162037797	1.81412E-06	1.95824E-05
AT3G07990	-1.1619879	1.84758E-13	8.34559E-12
AT1G58320	-1.161754646	0.003271416	0.013653924
AT2G30820	-1.160709877	3.12945E-06	3.17799E-05
AT5G17630	-1.159397884	1.70554E-13	7.77363E-12
AT4G21200	-1.158660798	0.013487998	0.044573881
AT5G62350	-1.158248655	2.42052E-12	9.07874E-11
AT5G24100	-1.157885275	5.94287E-09	1.13563E-07
AT4G10350	-1.157138721	1.52681E-06	1.68347E-05
AT1G77400	-1.156595323	1.96107E-10	5.08526E-09
AT2G47920	-1.156536573	0.000452622	0.002513402
AT1G71015	-1.156197074	2.00373E-08	3.43564E-07
AT4G36830	-1.156040922	8.66355E-05	0.00060378
AT5G04370	-1.15593013	0.00011972	0.00080446
AT5G09220	-1.155355313	1.47166E-10	3.90866E-09
AT2G33460	-1.154906909	6.06024E-06	5.73595E-05
AT2G38360	-1.154790104	2.45499E-14	1.33646E-12
AT5G40390	-1.154152457	2.893E-15	1.82752E-13
AT2G22190	-1.153893065	0.003043281	0.012831365
AT5G47530	-1.153449733	4.36816E-06	4.2974E-05
AT4G38660	-1.153302789	3.68834E-14	1.93274E-12
AT1G14600	-1.152808303	0.002946389	0.012491797
AT2G41510	-1.151937557	0.005263494	0.020485851
AT5G51310	-1.150906639	5.09382E-05	0.000381136
AT1G77390	-1.150701183	0.00287317	0.012216303
AT1G43650	-1.149553753	4.74597E-07	5.97215E-06
AT4G05430	-1.149380839	0.002847071	0.012121695
AT5G06278	-1.147439696	0.010919794	0.037400925
AT4G29240	-1.147242606	8.77613E-05	0.000610144
AT2G25220	-1.1469314	1.1834E-07	1.71917E-06
AT4G31920	-1.144537541	1.88235E-14	1.04274E-12
AT3G32040	-1.144162326	0.000258243	0.001552724
AT1G17180	-1.143180718	0.000943948	0.004744209
AT2G42150	-1.142312867	0.002777548	0.011883416
AT5G56970	-1.141505943	0.000163994	0.001050436
AT3G14370	-1.141493851	1.10585E-09	2.4601E-08
AT1G02460	-1.138989816	3.36051E-10	8.28783E-09
AT2G40380	-1.136508079	2.50359E-13	1.1032E-11
AT5G43250	-1.134915963	0.000255045	0.001535692
AT2G34920	-1.134002332	4.58614E-08	7.28808E-07
AT3G57920	-1.132568274	4.40176E-06	4.32034E-05
AT2G44690	-1.132472937	4.31855E-07	5.50299E-06
AT1G70340	-1.131270297	6.93384E-10	1.60632E-08
AT1G79620	-1.130967777	2.40068E-14	1.31085E-12
AT3G59830	-1.130445606	8.90738E-05	0.000618656
AT4G21780	-1.13002252	0.006791219	0.025317655
AT3G03290	-1.128855686	0.012669544	0.042329779
AT5G61350	-1.128078205	0.000193433	0.001213106
AT1G72590	-1.127193665	0.002505187	0.010877779
AT4G18570	-1.126776856	5.96328E-12	2.04496E-10
AT5G13930	-1.126705723	0.000107523	0.000731478
AT3G56230	-1.12656845	8.67278E-10	1.96227E-08
AT5G33382	-1.126173619	0.004138855	0.016696747
AT1G67760	-1.126117339	3.40239E-05	0.000268579
AT1G16780	-1.122897131	3.62074E-10	8.8775E-09
AT1G53230	-1.122378083	1.13951E-09	2.52607E-08
AT1G64920	-1.12214715	3.10933E-10	7.74414E-09
AT4G11050	-1.121215388	0.000660371	0.003487058
AT1G22530	-1.121091156	2.24107E-06	2.36839E-05
AT5G19560	-1.12076908	3.25099E-05	0.000258083
AT1G01300	-1.118026083	3.49128E-14	1.84482E-12
AT3G13160	-1.116476438	4.24055E-09	8.35024E-08
AT2G22900	-1.11581255	2.63765E-13	1.15822E-11
AT5G52560	-1.115453901	1.28265E-13	6.02035E-12
AT2G16430	-1.115340828	6.19844E-12	2.12271E-10
AT3G03500	-1.115176661	1.26252E-13	5.93692E-12
AT1G30515	-1.114046693	0.001776834	0.008166913
AT3G48350	-1.113651772	1.49153E-09	3.22904E-08
AT5G64640	-1.113404561	4.98186E-08	7.85289E-07
AT5G57420	-1.113375945	0.000444066	0.002472429
AT1G61810	-1.111754367	0.000273803	0.00163381
AT5G51810	-1.111651776	0.000475625	0.002623796
AT3G12710	-1.110822845	1.68367E-11	5.33126E-10
AT5G57685	-1.110615377	1.01733E-09	2.27725E-08
AT3G62280	-1.110602463	3.75824E-14	1.95312E-12
AT5G44670	-1.110587946	4.97317E-11	1.44411E-09
AT4G14940	-1.110352509	3.5752E-11	1.06015E-09
AT3G53720	-1.109912495	0.000151818	0.000983442
AT3G12540	-1.10982206	9.56665E-08	1.4101E-06
AT5G45700	-1.109556858	4.00359E-06	3.97442E-05
AT3G57780	-1.108812858	2.06949E-11	6.40018E-10
AT2G36355	-1.108400639	2.19755E-06	2.32728E-05
AT4G13495	-1.108271224	0.003634918	0.014940985
AT5G61660	-1.107989569	2.94078E-05	0.000236586
AT1G30370	-1.107858516	0.000273924	0.001634141
AT5G12110	-1.107596304	4.54074E-07	5.74545E-06
AT1G60390	-1.106754946	2.19771E-13	9.78247E-12
AT2G43240	-1.105898462	3.9998E-12	1.42193E-10
AT3G55760	-1.10566203	5.81883E-11	1.66318E-09
AT4G29110	-1.104599698	1.85501E-06	1.99639E-05
AT1G61950	-1.102733573	0.001137789	0.005578289
AT3G19500	-1.10260816	0.009201094	0.032508211
AT4G26990	-1.101592861	3.90442E-10	9.50829E-09
AT4G16610	-1.101568264	3.65718E-05	0.000285739
AT5G48400	-1.101238891	0.001422812	0.00677408
AT5G14750	-1.100594678	1.72494E-06	1.87482E-05
AT2G14860	-1.100185829	1.38908E-07	1.99157E-06
AT1G73630	-1.10002972	7.03052E-08	1.07723E-06
AT3G15020	-1.098753968	1.37833E-12	5.32835E-11
AT1G03870	-1.098578593	1.54551E-07	2.1971E-06
AT1G62870	-1.098393557	0.000186632	0.001176605
AT4G12980	-1.098321231	4.92042E-09	9.53993E-08
AT5G05940	-1.097640216	2.96221E-08	4.91525E-07
AT3G09540	-1.097462978	2.64434E-12	9.81598E-11
AT5G40860	-1.096908832	0.000114753	0.000774598
AT4G36880	-1.094876283	0.002271165	0.009997329
AT4G30800	-1.094794825	1.6126E-05	0.000138109
AT1G34640	-1.094406486	0.011781165	0.03988506
AT5G65810	-1.093721978	2.11692E-12	8.01155E-11
AT3G57540	-1.093657939	2.66445E-07	3.54768E-06
AT4G38400	-1.092093447	0.000629688	0.003348371
AT3G18490	-1.091996451	1.07269E-13	5.09174E-12
AT4G26880	-1.091590376	0.008957231	0.031793691
AT5G18690	-1.091276114	1.42636E-11	4.56236E-10
AT1G73680	-1.08981244	4.68306E-05	0.000353827
AT2G38100	-1.089811297	0.001103175	0.005427588
AT1G10460	-1.089392113	3.99103E-05	0.000307438
AT1G35610	-1.089118307	0.001830796	0.008353586
AT4G08685	-1.088923272	7.10343E-12	2.40325E-10
AT4G14695	-1.088739737	7.48302E-05	0.000532521
AT4G33120	-1.088562879	1.05089E-05	9.42624E-05
AT2G35190	-1.086749892	9.79056E-13	3.88005E-11
AT5G67210	-1.08508094	7.90743E-08	1.19099E-06
AT3G15720	-1.084840021	1.77104E-05	0.000149997
AT1G33320	-1.084774898	0.000140053	0.000917371
AT1G75500	-1.084596269	4.94441E-14	2.52275E-12
AT3G13470	-1.083677374	2.47669E-09	5.07933E-08
AT3G16390	-1.083539165	0.001060229	0.005240847
AT5G67620	-1.08329806	7.47973E-08	1.13776E-06
AT1G05590	-1.082104448	6.21965E-12	2.12709E-10
AT5G10440	-1.081014494	0.00166672	0.007740887
AT2G30630	-1.080977078	0.013044388	0.043352293
AT3G28550	-1.080816541	0.007811823	0.02842457
AT4G18390	-1.080692079	1.32662E-10	3.56857E-09
AT5G41140	-1.08059648	1.21328E-14	6.9031E-13
AT1G02530	-1.080415714	0.002235134	0.009866298
AT1G08960	-1.079380766	8.26054E-11	2.28297E-09
AT5G43020	-1.079139277	6.64288E-07	8.0381E-06
AT4G19030	-1.078045719	5.0662E-12	1.74923E-10
AT1G03070	-1.077391777	2.08095E-06	2.21684E-05
AT4G16120	-1.07674185	1.94035E-11	6.06781E-10
AT5G57500	-1.076468714	9.14772E-08	1.3539E-06
AT5G51270	-1.076029406	1.35556E-05	0.000118306
AT5G37600	-1.075509949	4.17578E-12	1.47616E-10
AT1G22065	-1.074566207	1.90638E-06	2.0447E-05
AT1G10560	-1.073741766	1.45462E-08	2.58559E-07
AT2G27840	-1.073135077	4.70212E-07	5.92881E-06
AT5G26670	-1.07169269	1.73092E-06	1.87809E-05
AT5G23300	-1.071495396	2.35735E-11	7.23714E-10
AT3G43930	-1.070944453	3.92444E-05	0.000303236
AT2G03590	-1.069921956	1.94887E-09	4.11056E-08
AT3G49670	-1.069694296	7.52195E-11	2.08801E-09
AT4G27480	-1.06907347	4.81564E-07	6.04473E-06
AT3G61250	-1.068975014	0.014622689	0.047569035
AT3G50770	-1.066103258	0.003886591	0.015830885
AT3G29360	-1.065244924	9.15108E-13	3.65535E-11
AT2G04025	-1.065185461	4.06755E-05	0.000312279
AT1G80520	-1.064822226	2.0137E-07	2.76596E-06
AT3G53980	-1.064092147	8.32484E-08	1.24823E-06
AT3G23840	-1.063300261	0.004377692	0.017522588
AT5G24880	-1.063000711	2.57364E-05	0.000210296
AT5G48130	-1.062982118	0.008008322	0.029005569
AT2G22890	-1.062664706	0.000112832	0.00076368
AT4G33010	-1.062629117	1.06681E-12	4.18829E-11
AT4G38320	-1.061518764	6.20473E-10	1.45479E-08
AT2G18500	-1.060748474	9.60705E-05	0.000662506
AT1G07370	-1.060141333	1.15603E-10	3.12971E-09
AT3G49660	-1.05999691	8.37674E-08	1.25452E-06
AT3G07390	-1.059116242	0.000126712	0.000842906
AT5G44574	-1.058915492	2.57102E-05	0.000210261
AT1G07290	-1.058895274	3.38311E-08	5.53857E-07
AT3G45930	-1.058186632	1.38342E-09	3.01375E-08
